No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
TNS/NS429/O820/4;Sweter Damski Crew Neck;65% Bawełna/35% Poliester;65% bawełna organiczna / 35% poliester z recyklingu poprodukcyjnego. Czesana bawełna. Luźny krój z obniżonymi ramionami. 3-warstwowy szczotkowany polar, LSF (Low Shrinkage Fleece: wstępnie skurczony polar). 1/2 koła z tyłu. Prany enzymatycznie. Płaski ściągacz z bawełny organicznej z metalowymi końcówkami z recyklingu. Kryty ścieg na dekolcie, szwach na ramionach, otworach na ręce i mankietach. Kołnierzyk i mankiety ze ściągaczem 2 x 1. Wewnętrzna taśma przy dekolcie w jodełkę.;Eco-Friendly Ladies’ Oversize Cropped Round Neck Sweatshirt;65% Cotton/35% Polyester;65 % organic cotton / 35 % post-consumer recycled polyester. Combed cotton. Oversized fit with dropped shoulders. 3-ply brushed fleece, LSF (Low Shrinkage Fleece: pre-shrunk fleece). 1/2 circle in the back. Enzyme-washed. Flat organic cotton drawstring hem with recycled metal tips. Cover stitch on neckline, shoulder seams, armholes and cuffs. 2 x 1 ribbed collar and cuffs. Inner taped neckline with herringbone. ;W;280;0,33;SW;OE
TSO/01710/319/8;;;;Men's Glory Sweater;70% Viscose/30% Polyamide;V-neck. Fitted cut. 1x1 ribbed cuffs and hem with elastane for a perfect fit. Armholes with knitting decrease.;M;220;0,474;SW;
TKA/K967/L215/7;Sweter z Okrągłym Dekoltem;50% Bawełna/50% Akryl;Dopasowany styl. Podwójny ściągacz wokół szyi. Podklejone szwy wokół szyi.;Men's Crew Neck Jumper;50% Cotton/50% Akcrylic;Double layer neck rib.Taped neck ;M;290;0,384;SW;
TKA/K965/O169/9;Męski Sweter V-Neck;50% Bawełna/50% Akryl;Dopasowany styl. Podwójny ściągacz wokół szyi. Podklejone szwy wokół szyi.;Men's V-Neck Jumper;50% Cotton/50% Akcrylic;Double layer neck rib.Taped neck ;M;290;1,92;SW;
T-K/021030/10/3;;;;;;;U;280;0;BL;
TSO/01711/312/3;;;;Women's Glory Sweater;70% Viscose/30% Polyamide;V-neck. Close-fitting cut. 1x1 ribbed cuffs and hem with elastane for a perfect fit. Armholes with knitting decrease.;W;220;0,312;SW;
TTJ/6001/K317/8;Sweter Męski V-Neck;50% Wełna Merino/50% Akryl;Prać w 30 stopniach, przy ustawieniu na wełnę. Szwy. Krój dopasowany.;Mens V-Neck Sweater;50% Merino Wool/50% Acrylic;30 degree washing at wool program. Fully fashion. Tailored fit. ;M;0;0,36;SW;
TJN/JN1902/M089;Koc Fleece Blanket XXL;100% Poliester;Do wszechstronnego zastosowania w gastronomii oraz czasie wolnymŁatwy w pielęgnacji polar odporny na zmechaceniaOzdobne opakowanie prezentowe z tasiemkąWymiary  150 × 200 cm;Fleece Blanket XXL;Outer fabric (285 g/m?) 100% polyester;Multi-functional for catering trade and leisure. Easy-care anti-pilling fleece. Decorative gift pack with satin ribbon. Measurements  150 x 200 cm;;285;0,85;TD;
TJN/JN952/K099;Koc Bonded Fleece;100% Poliester;Koc Bonded Fleece marki James & Nicholson to wysokiej jakości dwuwarstwowy koc do domu, biura czy restauracji. Wykoy został z wysoko gatunkowego dwu warstwowego micropolaru. Dostępny w różnych eleganckich dwuodcieniowych wariantach i jednym rozmiarze (150 x 170 cm). Doskonale sprawdzi się jako znakowany koc reklamowy. Pakowany jest jako upominek o kształcie rolki.;Bonded Fleece Blanket;100% Polyester;Bonded Fleece blanket by James & Nicholson is a high-grade two-layer blanked for home, work, or restaurant. Made of high-quality dual-layer microfleece. Available in elegant two-shade colours and one size (150 x 170 cm). Perfect as a labelled advertising blanket. Packed as a rolled gift.;;320;0,84;TD;SS
TJN/JN950/L556;Koc Polarowy do Wypoczynku;100% Poliester;Koc Polarowy do wypoczynku stworzony przez markę James & Nicholson to wielofunkcyjny koc, który sprawdzi się w przemyśle kateringowym, przy wypoczynku a także jako znakowany koc reklamowy. Wykoy został z łatwej w pielęgnacji i odpornej na mechacenie dzianiny polarowej. Pakowany jest jako upominek z ozdobną, satynową wstążką. Wymiary - 130x170 cm;Fleece Blanket;100% Polyester;Fleece blanket by James & Nicholson is a multifunctional product great for the catering industry, leisure, or as promotional piece. Made of easy-care fleece fabric resistant to piling. Packed as a gift with a decorative satin ribbon. Dimensions - 130x170 cm.;;240;0,56;TD;
GVG/V0034/11;Koc piknikowy;poliester, plastik;Koc piknikowy w pokrowcu (rozłożony 140 x 100 cm);Picnic blanket;polyester (ripstop), plastic;Picnic blanket in pouch (unfolded 140 x 100 cm);;0;0;TD;
GMO/MO8822/05;Koc piknikowy;PET;Koc piknikowy skladany z polaru i PEVA;Picnic blanket;PET;Foldable fleece blanket with plastic coated PEVA reverse side.;;0;0,468;TD;
GPF/113191/L554;Koralowy koc polarowy z plastiku z recyklingu Lily;100% Poliester z Recyklingu;Niezwykle miękki koc polarowy z plastiku z recyklingu w kolorze koralowym. W komplecie z torbą z plastiku 190T z recyklingu z zamknięciem na sznurek. Pakowane w torebkę z polietylenu pochodzącego z recyklingu. Wymiary torby: długość 37 cm, średnica 16 cm. 100% Recicled Poliester, 240 g/m2, 190T100% Recicled Poliester.;Lily RPET coral fleece blanket;100% Recycled Polyester;Ultra-soft RPET coral fleece blanket. Comes with a 190T RPET carry pouch with drawstring closure. Packed in a recycled polybag. Pouch size: length 37 cm, diameter 16 cm. 100% Recycled Polyester, 240 g/m2, 190T of 100% Recycled Polyester.;;240;0;TD;
TJN/JN954/L273;Kolorowy Koc Piknikowy;100% Poliester;Luksusowy koc polarowy. Nadruk z obu stron w graficzne wzory w modnych kolorach. Z zawieszką. 100% poliester, 210 g / m? Rozmiar: 150 x 200 cm;Urban Style Blanket;100% Polyester;Lifestyle fleece blanket. Imprinted on both sides with graphic design in interior trend colours. Looped. 100 % polyester, 210 g/m?. Size: 150 x 200 cm;U;210;0,68;TD;
GPF/112934/N011;Koc polarowy z sherpą Lauren;Mikropolar 190 g/m? i polar sherpa 180 g/m?.;Koc polarowy z sherpą Lauren. Koc ma klasyczny wygląd i jest wyjątkowo miękki ze względu na połączenie z polaru i sherpy. Oferowany z wstążką oraz kartą Field & Co. Mikropolar 190 g/m? i polar sherpa 180 g/m?.;Lauren sherpa fleece plaid blanket;190 g/m? Mircoplush fleece and 180 g/m? Sherpa fleece.;Lauren sherpa fleece plaid blanket. This blanket has a classic look and is heavenly soft due to the combination of fleece and Sherpa. Presented with a ribbon and Field & Co. card. . 190 g/m? Mircoplush fleece and 180 g/m? Sherpa fleece.;U;0;0,384;TD;
TRE/R039X/567;Koc Polarowy Active;100% Poliester;Materiał Active Fleece RESULT™, odporny na mechacenie, miękki i przyjemny w dotyku, możliwość prania w pralce, szybkoschnący, bardzo ciepły, kontrastowe wykończenia.;Active Fleece Blanket;100% Polyester Active Fleece by RESULT™;Anti pilling. Luxury feel/Soft to touch. Machine washable. Quick Drying Extremely warm. Contrast stitched edge for rugged look. RESULT printed wraparound Sleeve;;300;0,93;TD;
GVG/V1216/15;Koc;polyester 100%;Koc polarowy, przepasany wstążką;Blanket;poliester 100%;Blanket, wrapped with white ribbon;;0;0;TD;
TJN/JN1906/L021;Koc piknikowy XL;60% Poliester/25% Poliuretan/15% Polietylen;Powierzchnia z miękkiego polaru. Spód odporny na wodę i zabrudzenia. Obwodowa lamówka. Regulowany pasek na ramię. Wymiary: 180 x 180 cm.;Picnic Blanket XL;Outer fabric: 60% polyester/25% polyurethane/15% Polietylen;Soft fleece surface. Water- and dirt-repellent underside. Circumferential piping. Adjustable shoulder strap. Measurements: 180 x 180 cm.;;160;0,856;TD;
GVG/VG522/19;Wełniany Koc Vinga Saletto;Akryl/Wełna;Koc, miękki i trwały, wykonany w 30% z wełny i 70% akrylu;Vinga Saletto Woolen Blanket;Acrylic/Wool;Vinga Saletto Woolen Blanket;;0;3,2;TD;
GMO/MO2049/07;Koc bawełniany 350 gr/m2;Bawełna;Lekki bawełniany koc o stukturze waflowej i gramaturze 350 gr/m?. Zapakowany w białe pudełko.;Cotton wafle blanket 350 gr/m?;Cotton;350 gr/m? lightweight cotton waffle blanket. Presented in white lid box.;U;350;0,75;TD;
GPF/113190/L638;Koc polarowy z plastiku z recyklingu Willow;Poliester recyklowany, 180 g/m2, 190T Poliester recyklowany;Koc polarowy z plastiku z recyklingu nadaje się do użytku w domu i na zewnątrz. W komplecie z torbą z plastiku 190T z recyklingu z zamknięciem na sznurek. Pakowane w torebkę z polietylenu pochodzącego z recyklingu. Wymiary torby: długość 34 cm, średnica 13 cm.;Willow GRS RPET polar fleece blanket;Recycled Polyester, 180 g/m2, 190T of Recycled Polyester;GRS certified RPET polar fleece blanket suitable for indoor and outdoor use. Comes with a 190T RPET carry pouch with drawstring closure. Packed in a recycled polybag. Pouch size: length 34 cm, diameter 13 cm.;;0;0;AD;
TRE/R039X/BLK;Koc Polarowy Active;100% Poliester;Materiał Active Fleece RESULT™, odporny na mechacenie, miękki i przyjemny w dotyku, możliwość prania w pralce, szybkoschnący, bardzo ciepły, kontrastowe wykończenia.;Active Fleece Blanket;100% Polyester Active Fleece by RESULT™;Anti pilling. Luxury feel/Soft to touch. Machine washable. Quick Drying Extremely warm. Contrast stitched edge for rugged look. RESULT printed wraparound Sleeve;;300;0,93;TD;
GPF/113504/N011;Althea ręcznik sportowy 30x80 cm;Dzianina Poliester;Ręcznik sportowy Althea wykonany jest z poliestru o gramaturze 140 g/m2, dzięki czemu ma szybko schnącą i chłonną powierzchnię, niezbędną do wycierania potu podczas intensywnych treningów lub aktywności na świeżym powietrzu. Ręcznik ma wymiary 30 x 80 cm, dzięki czemu jest zarówno łatwy do przenoszenia, jak i funkcjonalny.;Althea sport towel 30x80 cm;Knit of Polyester, 140 g/m2;The Althea sport towel is made from 140 g/m2 polyester, offering a quick-drying and absorbent surface, essential for wiping away sweat during intense workouts or outdoor activities. The towel measures 30  x 50 cm, providing the perfect balance between portability and functionality.;;140;0,038;TD;
GMB/MB421/K153;Ręcznik do Rąk;100% Bawełna;Ręcznik do rąk wykonany z gładkiej tkaniny frotte. Miękka tkanina frotte. Pranie normalne. Nie wybielać. Prasowanie w niskiej temperaturze (max. 110 stopni);Hand Towel;100% Cotton;Smooth terry, weight: 420 g/m2. Size: 50 x 100 cm;;420;0,2;TD;
GPF/126170/L335;Ręcznik chłodzący Remy w pojemniku;Plastic;Ręcznik chłodzący Remy w pojemniku wykonany z wytrzymałego polierstu. Szybko wchłaniający, szybkoschnący i nadający się do prania ręcznik chłodzący do schładzania się podczas ćwiczeń lub aktywności na świeżym powietrzu. Dostarczany w pojemniku z uchwytem do przenoszenia z wbudowanym karabińczykiem ułatwiającym przenoszenie. Dostępny w 5 żywych kolorach. Duża przestrzeń na logo na pojemniku, dekoracja możliwa również na samym ręczniku chłodzącym. Wymiary: 30 x 80 cm. PET. 0,096.;Remy cooling towel in PET container;Plastic;Quick absorbing, quick drying, and washable cooling towel made of strong and durable polyester for keeping cool during work-out or any outdoor activity. Comes in a PET container with a carry handle with a built-in carabiner for easy carrying. Available in 5 fresh colours. Large decoration logo area on the container, decoration also possible on the cooling towel itself. Size: 30 x 80 cm.;;0;0,084;TD;
TKA/K100/L206;Ręcznik z Bawełny Organicznej;100% Bawełna;100% bawełna. Ten ręcznik jest wykonany w 100% z bawełny organicznej. Certyfikat GOTS wydaje Ecocert Greenlife. Dzianina frotte z płaskim brzegiem o szerokości 8 cm (1 strona), aby zapewnić optymalną powierzchnię dekoracyjną. Wymiary 100 x 50 cm.;Organic Towel;100% Cotton;100% cotton. This towel is made from 100% organic cotton. The GOTS certificate is issued by Ecocert Greenlife. Terry knit with 8 cm wide flat edging (1 side) to ensure optimal decoration surface. Dimensions 100 x 50 cm.;;450;1,28;TD;
GLS/TH1080/L556;;;;;;;U;500;0,313;TD;
TKA/K113/L292;Ręcznik Kąpielowy;100% Bawełna;Kolorowy ręcznik kąpielowy. 70 x 140 cm;Bath Towel;100% Cotton;Bath towel, size 70 x 140cm;;450;0,434;TD;
GVG/V7681-A/21;;;;Towel;microfibre 200 g/m2;Towel in pouch with cord closure;;0;0;TD;
GVG/VG622/04;Ręcznik VINGA Ornos;bawełna z recyklingu, poliester;Ręcznik, wykonany z mieszanki 68% bawełny z recyklingu oraz 29% poliestru z recyklingu, miękki i przewiewny;VINGA Ornos GRS recycled cotton hammam towel;bawełna z recyklingu, poliester;This hammam beach towel features a classic two-coloured striped pattern with fringes on the short sides. Crafted from a lightweight and airy 200 gsm blend, it combines the comfort of cotton with the quick-drying benefits of polyester. Measuring 80x180 cm, it is perfect for the beach or poolside. Certified by GRS (Global Recycled Standard), GRS certification guarantees that the entire supply chain of the recycled materials is certified. The total recycled content is based on the overall product weight. This product contains 68% GRS certified recycled cotton and 29% GRS certified recycled polyester.;;0;0;AD;
GLS/AR606/L190;Ręcznik plażowy Excellent Deluxe;100% Bawełna;Ręcznik plażowy z bawełny czesanej. Utkany z tureckiej bawełny. Wysoka puszystość uzyskana dzięki unikalnej metodzie przędzenia;Beach Towel Excellent Deluxe;100% Cotton;Combed cotton beach towel.  Loomed from Turkish Cotton. Fluffy feel achived through a unique spinning method. Border: 9 cm;;700;1,471;TD;
GMB/MB422/L215;Ręcznik Kąpielowy;100% Bawełna;Ręcznik kąpielowy wykonany z tkaniny frotte. Miękka tkanina frotte. Pranie normalne. Nie wybielać. Prasowanie w niskiej temperaturze (max. 110 stopni);Bath Towel;100% Cotton;Terry, weight: 420 g/m2. Size: 70 x 140 cm;;420;0,42;TD;
TKA/PA573/L203;Ręcznik Sportowy z Mikrofibry;85% Polyester/15% Poliamid;Ultralekkie do szybkiego i wydajnego suszenia. Wykończenie owerlokowe i dołączona pasująca gumka do łatwego składania i przenoszenia;Microfibre Sports Towel;85% Polyester/15% Polyamide;Ultra-light for quick and efficient drying. Overlock finish and attached matching elastic band for easy folding and carrying.;;190;0,34;TD;
GMB/MB440/L021;Ręcznik Flanelowy 15x21;100% Bawełna;Bawełniane rękawiczki w modnym wzorze. Przyjemnie miękka folowana tkanina frotte. Czesana bawełna organiczna ring-spun. Wysoka chłonność;Flannel Towel 15x21;Outer fabric: 100% cotton;Pleasantly soft cotton terry, combed ring-spun organic-cotton. Optimum absorbency. Selection of fashionable, bright colours. ;;420;0,039;TD;
TBS/BS802/WH;Ręcznik Gymmy 90x150;90% Poliester/10% Nylon;90% poliester, 10% nylon. Miękki i gładki materiał. Ręcznik z mikrofibry, doskonała chłonna tkanina, idealna do uprawiania sportu, wypoczynku i podróży.;Gymmy 90x150;90% Polyester/10% Nylon;90% polyester, 10% nylon. Soft and smooth material. Microfibre towel, excellent water absorbent cloth, ideal for sport, leisure and travel.;;190;0,155;TD;
TKA/PA573/L335;Ręcznik Sportowy z Mikrofibry;85% Polyester/15% Poliamid;Ultralekkie do szybkiego i wydajnego suszenia. Wykończenie owerlokowe i dołączona pasująca gumka do łatwego składania i przenoszenia;Microfibre Sports Towel;85% Polyester/15% Polyamide;Ultra-light for quick and efficient drying. Overlock finish and attached matching elastic band for easy folding and carrying.;;190;0,34;TD;
GLS/AR080/L152;;;;SUBLI-Me Hand Towel;1005 Cotton;Hand towel features a sublimation band of 10 cm where your logo / text or photo can be printed in full color | Towel is made from 100% Cotton, sublimationborder from 100% Polyester.;;450;0,251;TD;
TKA/K238/L273/3;Damska Koszulka Polo Jersey;100% Bawełna;Koszulka wykonana z gładkiej dzianiny. Damski krój, stylowy kołnierzyk, 3 guziki, wykończenie podwójnym ściegiem.;Ladies Jersey Polo;100% Combed Cotton;Feminine fit, shirt style collar, 3 button placket, twin needle finishing.;W;180;0,22;TD;
GLS/TH1095/K065/3;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,47;TD;
GLS/TH1095/L692/7;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,62;TD;
GLS/TH1095/L692/3;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,515;TD;
GLS/TH1095/K214/3;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,62;TD;
GLS/TH1095/O245/5;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,525;TD;
TSO/89100/102/3;Szlafrok Kąpielowy Palace;100% Bawełna;Długie rękawy. 2 kieszenie, pasek.;Palace Unisex Bathrobe (Shawl Collar);100% Cotton;Long sleeves. 2 patch pockets. Belt with loops.;U;400;0,1;TD;
GLS/TH1095/L597/7;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,62;TD;
TKA/K140/L215/5;Szlafrok Unisex z Bawełny Organicznej;100% Bawełna Organiczna;Wszystkie kolorystyki wykonane są z bawełny organicznej. Certyfikat GOTS (Global Organic Textile Standard) wydawany jest przez Ecocert Greenlife. Dzianina frotte. Miły i miękki w dotyku. Duży kaptur. 2 boczne naszywane kieszenie ze wzmocnionymi przeszyciami u góry kieszeni. Pas ze szlufkami. Pętelka do zawieszania przy szyi. Wykończenie podwójną igłą na krawędzi kaptura, mankietach i obszyciu. Rurowe wykończenie mankietów i dołu.;Unisex Organic Hooded Bathrobe;100% Organic Cotton;All colourways are made from organic cotton. The GOTS (Global Organic Textile Standard) certificate is issued by Ecocert Greenlife. Terry knit. Nice and soft touch. Large hood. 2 side patched pockets with reinforced overstitching at top of pockets. Waistband with belt loops. Hanging loop at neck. Twin-needle finishing at hood edge, cuffs and hem. Tubular finish at cuffs and hem.;U;270;1,92;TD;
GLS/TH1095/K214/5;Szlafrok z Kapturem;100% Cotton;Czesana bawełna frotte. Miękka i chłonna. Dwie praktyczne kieszenie. Luźny krój.;Bathrobe Hooded;100% Cotton;Combed Terry cotton. Soft and absorbs moisture. Two handy pockets. Wide fit;;420;1,645;TD;
